;0;1
22;переговоры;['проводились', 'нет_необходимости', 'кредитованию', 'кредитных', 'запланированы', 'переговоры', 'договорились', 'проведены', 'вопросу', 'проекта', 'эквайринг', 'телефону', 'ведутся', 'нет_потребности', 'средств', 'момент', 'знакомство', 'встречи', 'клиентом', 'компаний', 'данный', 'назначены', 'бухгалтером', 'повторные', 'организации']
23;не ответили;['номеру', 'банке', 'отвечает', 'телефон', 'несколько', 'трубку', 'директор', 'кредитование', 'не_берет', 'недозвон', 'руководитель', 'не_интересно', 'переговоры', 'берут', 'клиент', 'отключен', 'данному', 'находится', 'постоянно', 'отпуске', 'недоступен']
24;есть кредит;['сумму', 'рамках', 'пока', 'декабре', 'выдан', 'ранее', 'ноябре', 'получил', 'заявка', 'нет_потребности', 'оформил', 'года', 'действующий', 'клиент', 'не_интересует', 'полис', 'доверие', 'организацию', 'страхования', 'кредит']
25;не разговаривают;['отказ', 'время', 'спарк', 'трубку', 'договорились', 'сказал', 'не_хочет', 'переговоров', 'встречи', 'не_берут', 'директор', 'кредитование', 'не_берет', 'звонок', 'не_удобно', 'клиент', 'бросил', 'встретится', 'негативно', 'бухгалтером', 'связь', 'момент', 'не_взял', 'разговаривать']
26;дорогие тарифы;['отказ', 'деят', 'банке', 'комментарии', 'встреча', 'ставки', 'продукт', 'цена', 'кредитование', 'суды', 'лизинг', 'нет_потребности', 'mail', 'карта', 'более', 'клиент', 'лимит', 'данный', 'высокие', 'спарк', 'момент', 'контакта', 'сумма']
27;небольшие обороты;['место', 'ведения', 'средств', 'собственных', 'оборот', 'среднего', 'встреча', 'менее', 'продукты', 'остаток', 'кредитование', 'стабильный', 'месяца', 'входит', 'отказ', 'занимается', 'клиент', 'овердрафт', 'бизнеса', 'пока', 'группу', 'более', 'выручка']
28;выполнено;['проведена', 'рамках', 'выполнено', 'принята', 'пока', 'комментарии', 'встрече', 'действий', 'выдана', 'кредитование', 'корпоративная', 'также', 'клиентом', 'дальнейшем', 'нет_потребности', 'звонке', 'входит', 'карта', 'полевых', 'результат', 'заявление', 'работу', 'графика', 'выездов', 'успешно']
29;ликвидация;['место', 'отказ', 'счет', 'деятельности', 'ликвидации', 'ликвидируется', 'стадии', 'встреча', 'будут', 'действий', 'результат', 'план', 'находится', 'банк', 'компания', 'организация', 'клиент', 'егрюл', 'бизнесе', 'информация']
30;счет есть сб;['предложение', 'телефон', 'компании', 'продуктами', 'встреча', 'пользуется', 'счет', 'контактный', 'деятельности', 'кредитовании', 'сбербанке', 'обслуживается', 'нашем', 'клиент', 'является', 'основной', 'условия', 'спарк', 'какими', 'момент', 'выручка', 'сббол']
31;оптовая торговля;['место', 'клиента', 'лизинга', 'оптовая', 'каких', 'предложение', 'банках', 'компании', 'продукты', 'действий', 'торговля', 'встреча', 'пользуется', 'телефон', 'кредитование', 'контактный', 'результат', 'план', 'спарк', 'розничная', 'обслуживается', 'основной', 'условия', 'бизнесе', 'деятельности', 'выручка', 'информация']
32;аренда;['аренду', 'средств', 'предложение', 'отказ', 'сдача', 'компании', 'продукты', 'встреча', 'кредитование', 'лизинг', 'контактный', 'деятельности', 'банка', 'недвижимости', 'помещение', 'эквайринг', 'клиент', 'занимается', 'основной', 'данный', 'бизнесе', 'момент', 'выручка']
33;ошибка выборки;['отказ', 'центра', 'комплаенс', 'сотрудничество', 'закрыт', 'счет', 'приостановления', 'директор', 'кредитование', 'службой', 'инициативе', 'занесен', 'стоп', 'кодом', 'клиент', 'банка', 'операции', 'листе', 'заблокирован', 'данный', 'находится', 'комплайнс', 'сббол']
34;обратится сам;['предложение', 'телефон', 'деятельности', 'компании', 'контакты', 'встречи', 'директор', 'кредитование', 'лизинг', 'продукты', 'банк', 'обратятся', 'сами', 'клиент', 'выручка', 'данный', 'возникнет_потребность', 'обещал', 'момент', 'подумать']
35;много документов;['отказ', 'сейчас', 'сложный', 'стороннем', 'организации', 'банке', 'рассмотрения', 'показывать', 'встреча', 'подтвеждения', 'управленку', 'сроки', 'подавал', 'слов', 'форма', 'проблема', 'слишком', 'другом', 'документов', 'клиент', 'хотят', 'пакет', 'требуют', 'очень', 'большой', 'постоянного', 'след']
36;занято;['директором', 'номер', 'предложение', 'не_удалось', 'назначен', 'постоянно', 'встрече', 'занят', 'после', 'телефон', 'след', 'продукты', 'сейчас', 'очень', 'звонок', 'договориться', 'перезвонить', 'клиент', 'банка', 'просил', 'повторный', 'неделе']
37;проблемы;['сумму', 'клиента', 'счету', 'средств', 'компании', 'назначена', 'перед', 'встреча', 'либо', 'имеется', 'кредитование', 'лизинг', 'деятельность', 'картотека', 'не_подходит', 'года', 'момент', 'также', 'данный', 'не_отвечает', 'находится', 'организации', 'продукты']
38;голов. комп;['отказ', 'банке', 'договорились', 'сказал', 'компании', 'холдинга', 'решение', 'кредитование', 'лизинг', 'нерезидент', 'бегемот', 'головной', 'продуктам', 'филиалом', 'клиент', 'также', 'является', 'учредитель', 'группу', 'принимает', 'организации']
39;км;['группе', 'штате', 'опыт', 'огрн', 'нет_необходимо', 'сотрудника', 'общаются', 'ниной', 'своего', 'менеджером', 'оквед', 'другой', 'нужен', 'текущий', 'ними', 'клиент', 'кредит', 'обратятся', 'компаний', 'никаких', 'объединить', 'нет_овердрафт', 'работают', 'момент', 'общении']
40;подключен;['отказ', 'деятельности', 'дентас', 'инвойсинг', 'проведены', 'встреча', 'назначена', 'не_требуется', 'услуги', 'эквайринга', 'достигнута', 'кредитование', 'подключения', 'возможности', 'договоренность', 'свой', 'клиент', 'терминал', 'данный', 'бухгалтером', 'переговоры', 'момент']
41;счет закрыт;['отказался', 'санкт', 'приостановлен', 'банке', 'декабре', 'закрыт', 'счет', 'компанию', 'предложить', 'кредитование', 'не_целесообразно', 'блокирован', 'адрес', 'офис', 'переведен', 'овер', 'октябре', 'нашем', 'клиент', 'момент']
42;группа компаний;['предложение', 'голенкова', 'сейчас', 'климакиным', 'назначена', 'встреча', 'кредитование', 'средств', 'лизинг', 'не_интересует', 'входит', 'банк', 'работает', 'более', 'вопросы', 'эквайринг', 'клиент', 'компаний', 'данный', 'потребности', 'спарк', 'группа', 'проект', 'момент', 'выручка']
43;придет в банк;['время', 'решение', 'пока', 'интересен', 'карте', 'корпоративной', 'переговоров', 'придет', 'следующей', 'не_городе', 'лизинг', 'подойти', 'примет', 'знакомства', 'подойдет', 'банк', 'заедет', 'свободное', 'овер', 'клиент', 'пообещал', 'консультацию', 'подъедет', 'приехать', 'сегодня', 'неделе']
44;сезонный бизнес;['сезонный', 'отказ', 'деятельности', 'время', 'счет', 'встреча', 'не_требуется', 'компании', 'возможно', 'сейчас', 'кредитование', 'апреле', 'года', 'звонок', 'карта', 'клиент', 'бизнес', 'основной', 'потребности', 'данный', 'момент', 'выручка', 'условия']
45;нет на месте;['ведения', 'не_застал', 'клиентом', 'переговоры', 'договорились', 'времени', 'после', 'назначен', 'командировке', 'компании', 'директор', 'запланирован', 'руководитель', 'отсутствует', 'сейчас', 'повторный', 'звонок', 'перезвонить', 'встречу', 'секретарь', 'бизнеса', 'рабочем', 'месте']
